business	ビジネス、事業
company	会社、同行する、仲間
office	会社、事務所、役所
want	欲しい、望む
store	店、蓄え、蓄える
way	方法、道、やり方
order	注文する、要求
call	呼ぶ、電話
service	サービス、接客
base	基本、ベース
pay	払う、給料
product	商品
report	レポート、報告する
problem	問題
job	仕事、勤め口
market	市場
price	価格、値段
rate	割合、率、レート
change	変わる、交代する
check	チェックする、会計、小切手
part	部分、役割
plan	計画、計画する
sale	売る、セール
room	部屋
area	場所
free	自由
sure	確かな
increase	増える
tax	税金
receive	受け取る
include	含む、入れる
program	計画、番組
cost	費用、対価
government	政府
offer	申し込む、進める、申し出
charge	料金を課す、料金
experience	経験
state	述べる、国家、状態
information	情報、案内
account	口座、勘定
turn	戻る、振り返る
form	形、形作る
decide	決める、決定する
customer	顧客、得意先
line	線、行列、電話線
schedule	予定、予定する
sign	署名する、兆候
show	見せる
drive	運転する、ドライブ
return	返す、収益
department	百貨店
run	走る、経営する
close	閉じる、店を閉める
serve	奉仕する、仕える
cause	引き起こす、原因
arrive	到着する
board	登場する、板
expect	期待する、待つ
air	空気
system	制度、方式
course	コース
own	所有する、自分自身の
bill	請求書、請求する
enjoy	楽しむ
public	公共、出版する
manager	支配人、部長
seat	席、席を取る
weather	天気
stand	立つ、耐える
notice	注目する、予告
trip	旅行、旅する
happen	起こる
break	休憩、壊す
complete	完成する、完成した
fill	埋める
floor	床、階
age	年、時代
type	型、タイプ
point	指示する、指摘する、要点
passenger	旅客、通行人
main	大事な、主の
care	気にかける、世話
save	貯める、貯蓄
develop	開発する
provide	提供する
allow	許す
spend	費やす
drop	落とす、一滴
hold	保つ
mail	メールする、メール
copy	複写、コピーする
international	国際的な
pass	通過する、渡す
message	伝言
front	前面、正面、前
condition	状態
fire	火、クビにする
probably	おそらく
term	期間、専門用語
interest	興味、利子、利息
request	要求する、請求
foreign	外国の
meal	食事
control	支配、制御、支配する
discount	安くする
regular	普通
wear	着る、衣服
trouble	もめごと、問題を起こす
expensive	高い
industry	工業、産業
local	土地の、地元の、普通列車
position	位置、地位、姿勢
busy	忙しい
reach	近づく、到着する
traffic	交通
value	価値、価格
possible	可能な
cover	カバーする、表紙
mind	心、気にする
energy	活力
result	結果
matter	問題、重要になる
post	郵便、柱
accident	事故
amount	量
attend	出席する、出席
continue	続ける、続行
degree	度、学位
heart	心、中心、心臓
prefer	好む
plant	植物、工場
discuss	議論する
cash	現金、現金にする
conversation	会話
record	記録、記録する
direct	直接
head	頭、トップ
directly	直接的に
party	パーティ、政党
boss	上司
policy	政策、信念
fall	落ちる、下がる
pick	選ぶ、迎えにいく
case	場合、事情、事例
airline	航空路
necessary	必要な
surprise	驚き、驚かせる
popular	人気の
study	勉強、研究する
design	設計する、デザイン
medicine	薬、医学
law	法律、法則
lead	導く、先導
list	リスト
period	期間、ピリオド
safe	安全な
step	手段、段
short	短い、不足
apply	申し込む、応用する
produce	製造する、産物
couple	組の
chance	機会
present	出席の、現在の
fine	元気、罰金
force	力、軍隊
likely	しそうな
prepare	用意する、備える
decision	決心、決定
total	合計の、合計する
limit	限界、制限する
training	訓練
corner	端、角
reason	理由
limitation	制限
add	加える
national	国家の、国の
face	顔、面と向かう
express	表現する
demand	要求する、需要
depend	頼る
repair	修理する、修理
gas	ガソリン、ガス
ship	船、船で運ぶ
crowded	込んでいる
lose	負ける
clear	明白、きれいな
sound	音
activity	活動
crowd	群集
daily	日々の
raise	上げる
catch	捕らえる
exercise	運動、運動する
skin	肌
ground	地面、根拠
agree	合意する
ready	用意が整った
press	押す、新聞
tour	旅行
date	日付、デートする
deal	取引、取引する
enter	入る
level	水準、平らな、平らにする
accept	受け入れる
damage	衝撃、衝撃を与える
excellent	素晴らしい
patient	患者
process	経過
block	阻む、区画
join	加わる
remember	思い出す
immediately	ただちに、すぐに
taste	味
downtown	街（繁華街）
follow	従う、ついて行く
rise	昇る、上る
handle	扱う、処理する
trade	交換する、貿易する
rest	休む、休息
cheap	安い、安易な
except	除く
future	未来
land	土地、場所
suit	適する、スーツ
fail	落第する、失敗する
furniture	家具
safety	安全
language	言葉
quarter	四分の一
advise	アドバイスする
ahead	先に、先んじて
single	一人、独身
cross	渡る、交わる
disease	病気
earn	稼ぐ
improve	改善する
favorite	好みの、お気に入りの
inform	伝える
purpose	目的
suggest	提案する
choose	選ぶ
distance	距離
tired	疲れる
attention	注目
balance	調和、残高、釣り合い
balanced	調和の取れた
figure	形、姿
support	支援、支持する
clothes	衣服、衣類
dress	着せる、衣服
war	戦争
appear	現れる
address	住所、宛名を書く、公演する
careful	注意する
branch	枝、支店
dial	電話番号を押す
fix	修理する
promise	約束する、約束
media	メディア
wonder	気になる、思う、驚き
race	人種、競争、競争する
actually	実際に
adult	成人、成人の
advice	アドバイス
appearance	姿、出現
warn	警告する
angry	怒る
announce	告げる
announcement	告白
claim	要求する、要求
general	一般の、全般の
create	創造する
deliver	運ぶ
drug	薬、麻薬
salary	給料
effort	努力
personal	個人的な
private	私的な、非公開の
recently	最近
practice	練習する、練習、実行
standard	一般、基準
education	教育
view	視界、見方、考察する
film	映画、撮影する
hang	ぶら下がる
agency	代理店
entrance	入り口
guess	推測する、推測
monthly	月間の、月一回の
heat	熱
share	共有する、分け前
material	原料、物質の
print	印刷する、印刷
excuse	許す、言い訳
double	2倍の、2倍
invite	招く
invitation	招待
borrow	借りる
effect	効果
forward	前に
